x,oracle_coverage_percent,valid_fraction_percent,oracle_se
0.0,,0.0,
0.005,99.9,0.0,0.0034898572017103926
0.01,99.9,0.0,0.0034898563755446374
0.015,99.9,0.0,0.003489855453140276
0.02,99.9,0.0,0.003489854424722396
0.025,99.9,0.0,0.003489853280056234
0.03,99.9,0.0,0.003489852008639388
0.035,99.9,0.0,0.0034898505999972906
0.04,99.9,0.0,0.00348984904412404
0.045,99.9,0.0,0.0034898473321191724
0.05,99.9,0.0,0.0034898454570907846
0.055,99.9,0.0,0.003489843415422476
0.06,99.9,0.0,0.0034898412085316802
0.065,99.9,0.0,0.003489838845293215
0.07,99.9,0.0,0.00348983634536149
0.075,99.9,0.0,0.0034898337437082962
0.08,99.9,0.0,0.0034898310968022217
0.085,99.9,0.0,0.0034898284910095047
0.09,99.9,0.0,0.0034898260540026167
0.095,99.9,0.0,0.0034898239702346157
0.1,99.9,0.0,0.003489822501950111
0.105,99.9,0.0,0.003489822017701476
0.11,99.9,0.0,0.0034898230310744503
0.115,99.9,0.0,0.0034898262533461094
0.12,99.9,0.0,0.0034898326651564473
0.125,99.9,0.0,0.0034898436141919766
0.13,99.9,0.0,0.003489860948532845
0.135,99.9,0.0,0.0034898871989113957
0.14,99.9,0.0,0.003489925828293542
0.145,99.9,0.0,0.003489981574591604
0.15,99.9,0.0,0.0034900609210929364
0.155,99.9,0.0,0.0034901727443905875
0.16,99.9,0.0,0.0034903292086975505
0.165,99.9,0.0,0.0034905470002116207
0.17,99.9,0.0,0.0034908490379192895
0.17500000000000002,99.9,0.0,0.003491266842693038
0.18,99.9,0.0,0.003491843831814672
0.185,99.9,0.0,0.0034926398947806563
0.19,99.9,0.0,0.00349373777419741
0.195,99.9,0.0,0.003495251948069186
0.2,99.9,0.0,0.003497341037560518
0.20500000000000002,99.9,0.0,0.003500225093360836
0.21,99.9,0.0,0.0035042097393701726
0.215,99.9,0.0,0.0035097197501133912
0.22,99.9,0.0,0.0035173457698407574
0.225,99.8,0.0,0.0035279088135753015
0.23,99.8,0.0,0.0035425489652100074
0.23500000000000001,99.8,0.0,0.0035628453000980382
0.24,99.8,0.0,0.003590974941402657
0.245,99.7,0.0,0.0036299220535663873
0.25,99.3,0.0,0.0036837775196366064
0.255,99.0,0.1,0.0037584154127219957
0.26,98.7,0.1,0.0038634110502593277
0.265,98.1,0.1,0.004015401594071006
0.27,97.1,0.1,0.004239714069945908
0.275,96.6,0.2,0.004559525500398702
0.28,95.5,0.2,0.004983731759336115
0.28500000000000003,94.8,0.4,0.005563102365960296
0.29,94.8,0.4,0.006498932982521886
0.295,94.8,0.6,0.007744060329735622
0.3,94.1,1.0,0.008613843634313542
0.305,92.9,1.4000000000000001,0.009634828272224722
0.31,92.9,1.9,0.011369751512718797
0.315,94.0,2.8000000000000003,0.013915898222084987
0.32,94.5,4.1000000000000005,0.016966732769163308
0.325,94.69999999999999,6.2,0.02042041373639533
0.33,94.89999999999999,8.4,0.02460474738894511
0.335,94.8,12.6,0.029372068174622075
0.34,94.19999999999999,17.4,0.03454721012485685
0.34500000000000003,94.6,21.6,0.040508718007267984
0.35000000000000003,94.39999999999999,29.9,0.048915141493875124
0.355,94.8,38.9,0.061156129588284175
0.36,95.8,50.1,0.07476244659508147
0.365,95.5,61.5,0.08722727134192
0.37,95.3,72.6,0.099144517843728
0.375,94.3,82.5,0.11186492006046164
0.38,94.69999999999999,90.2,0.13025677327313487
0.385,94.89999999999999,95.6,0.15099615986445003
0.39,94.69999999999999,97.5,0.17093928453419943
0.395,95.8,98.9,0.197697662499019
0.4,96.39999999999999,99.7,0.2299142633610288
0.405,96.6,99.9,0.25847913518015925
0.41000000000000003,96.2,100.0,0.2840633289017304
0.41500000000000004,95.8,100.0,0.32549124135849494
0.42,95.3,100.0,0.3692516325772946
0.425,96.0,100.0,0.4154630807251362
0.43,94.1,100.0,0.486571948013156
0.435,88.9,100.0,0.5644797830770595
0.44,88.0,100.0,0.65010285232167
0.445,94.1,100.0,1.110484671244052
0.45,80.10000000000001,100.0,1.5609884620472452
0.455,95.5,100.0,1.084225511238745
0.46,82.6,100.0,1.014795068490909
0.465,84.5,100.0,1.0649065773082182
0.47000000000000003,93.60000000000001,100.0,1.095566338752774
0.47500000000000003,88.0,100.0,1.585252673239177
0.48,94.69999999999999,100.0,1.1692162573627531
0.485,85.3,100.0,1.1540753329598086
0.49,87.2,100.0,1.2046197225553321
0.495,93.89999999999999,100.0,1.1894894919837298
0.5,90.7,100.0,1.670917166405326
0.505,94.19999999999999,100.0,1.2236816832091997
0.51,87.0,100.0,1.212288662441783
0.515,87.8,100.0,1.1993117552505157
0.52,93.8,100.0,1.1949530647994464
0.525,89.0,100.0,1.6400912793272304
0.53,93.30000000000001,100.0,1.1052773451521132
0.535,86.2,100.0,1.069622965885664
0.54,82.8,100.0,1.0367779338454348
0.545,96.0,100.0,1.1066786975270906
0.55,79.60000000000001,100.0,1.5975505054509236
0.555,94.6,100.0,1.131346425043796
0.56,88.1,100.0,0.6492300584935584
0.5650000000000001,88.9,100.0,0.5591811648463105
0.5700000000000001,94.6,100.0,0.4960046698750814
0.5750000000000001,96.0,100.0,0.43081431254758673
0.58,95.6,100.0,0.37915262233432245
0.585,94.3,100.0,0.32978600872507635
0.59,94.69999999999999,100.0,0.2884165905124682
0.595,95.19999999999999,100.0,0.2622269575347023
0.6,94.89999999999999,100.0,0.23316920183813844
0.605,95.6,99.4,0.20326524223496914
0.61,94.8,97.89999999999999,0.17581432363029473
0.615,95.5,95.0,0.1592117101814505
0.62,95.7,89.60000000000001,0.14490120763131467
0.625,96.39999999999999,83.3,0.1258812365738741
0.63,95.89999999999999,73.0,0.10801993770019165
0.635,95.8,63.2,0.09183146760762126
0.64,96.7,51.5,0.07909558020375446
0.645,95.6,42.199999999999996,0.06713561809117444
0.65,95.6,32.7,0.05559671024912818
0.655,95.7,23.5,0.04573747747390916
0.66,96.39999999999999,17.1,0.039040323281145206
0.665,96.6,13.0,0.03309818571408452
0.67,96.2,9.0,0.02664110532578533
0.675,95.89999999999999,6.5,0.02066473741151313
0.68,96.39999999999999,4.3,0.015705795971192163
0.685,96.39999999999999,3.4000000000000004,0.012243614937686427
0.6900000000000001,95.6,2.3,0.009831002876808437
0.6950000000000001,96.1,1.7000000000000002,0.008468035822731602
0.7000000000000001,97.1,1.0999999999999999,0.007738820454138257
0.705,97.1,0.7000000000000001,0.006474395790022906
0.71,97.3,0.3,0.005453601698118565
0.715,97.89999999999999,0.3,0.004879523714776048
0.72,98.1,0.1,0.004493221264231812
0.725,98.6,0.0,0.004234624427366282
0.73,98.8,0.0,0.004073465552906298
0.735,99.4,0.0,0.003972452628968339
0.74,99.4,0.0,0.0039059284320186382
0.745,99.6,0.0,0.0038603502251343736
0.75,99.7,0.0,0.003828522366775983
0.755,99.8,0.0,0.0038060887618157563
0.76,99.8,0.0,0.0037901733342496358
0.765,99.8,0.0,0.0037788216440996763
0.77,99.9,0.0,0.0037706917112145994
0.775,99.9,0.0,0.0037648549648659677
0.78,99.9,0.0,0.003760661975987542
0.785,99.9,0.0,0.003757653744152479
0.79,99.9,0.0,0.003755502611858367
0.795,99.9,0.0,0.003753972292176493
0.8,99.9,0.0,0.003752891294454654
0.805,99.9,0.0,0.003752134507616264
0.81,99.9,0.0,0.003751610442299148
0.8150000000000001,99.9,0.0,0.00375125231000425
0.8200000000000001,99.9,0.0,0.0037510114458769407
0.8250000000000001,99.9,0.0,0.003750852610190284
